MJD;Magnitude;Error;Facility;Filter;Observer
53555.44432;16.12;0.11;CRTS;CRTS(CL);CRTS
53555.45192;16.13;0.11;CRTS;CRTS(CL);CRTS
53555.45954;16.06;0.11;CRTS;CRTS(CL);CRTS
53555.46713;16.13;0.11;CRTS;CRTS(CL);CRTS
53580.40421;16.04;0.1;CRTS;CRTS(CL);CRTS
53580.41235;16.14;0.1;CRTS;CRTS(CL);CRTS
53580.42051;16.17;0.1;CRTS;CRTS(CL);CRTS
53580.42872;16.18;0.1;CRTS;CRTS(CL);CRTS
53608.37495;16.09;0.1;CRTS;CRTS(CL);CRTS
53608.38573;15.99;0.1;CRTS;CRTS(CL);CRTS
53608.39227;16.09;0.1;CRTS;CRTS(CL);CRTS
53608.39881;16.0;0.1;CRTS;CRTS(CL);CRTS
53729.73815;15.97;0.11;CRTS;CRTS(CL);CRTS
53729.74083;16.05;0.11;CRTS;CRTS(CL);CRTS
53729.7435;16.0;0.11;CRTS;CRTS(CL);CRTS
53729.74621;15.87;0.1;CRTS;CRTS(CL);CRTS
53734.7157;15.96;0.11;CRTS;CRTS(CL);CRTS
53734.72305;16.11;0.12;CRTS;CRTS(CL);CRTS
53734.73038;16.01;0.11;CRTS;CRTS(CL);CRTS
53734.73768;16.12;0.12;CRTS;CRTS(CL);CRTS
53765.67591;16.14;0.1;CRTS;CRTS(CL);CRTS
53765.68834;16.08;0.1;CRTS;CRTS(CL);CRTS
53765.70097;16.22;0.1;CRTS;CRTS(CL);CRTS
53765.71383;16.13;0.1;CRTS;CRTS(CL);CRTS
53806.61831;16.13;0.1;CRTS;CRTS(CL);CRTS
53806.62793;16.11;0.1;CRTS;CRTS(CL);CRTS
53806.63748;15.93;0.1;CRTS;CRTS(CL);CRTS
53806.64685;16.02;0.1;CRTS;CRTS(CL);CRTS
53820.57227;16.12;0.1;CRTS;CRTS(CL);CRTS
53820.58405;16.14;0.1;CRTS;CRTS(CL);CRTS
53820.59595;16.12;0.1;CRTS;CRTS(CL);CRTS
53820.60804;16.11;0.1;CRTS;CRTS(CL);CRTS
53830.54886;16.05;0.1;CRTS;CRTS(CL);CRTS
53830.5584;15.98;0.1;CRTS;CRTS(CL);CRTS
53830.56809;16.14;0.1;CRTS;CRTS(CL);CRTS
53830.57771;16.15;0.1;CRTS;CRTS(CL);CRTS
53845.51094;16.2;0.12;CRTS;CRTS(CL);CRTS
53845.52609;16.18;0.11;CRTS;CRTS(CL);CRTS
53845.53358;16.03;0.1;CRTS;CRTS(CL);CRTS
53852.53906;16.11;0.1;CRTS;CRTS(CL);CRTS
53852.54713;16.0;0.1;CRTS;CRTS(CL);CRTS
53852.55517;16.15;0.13;CRTS;CRTS(CL);CRTS
53852.56322;16.0;0.13;CRTS;CRTS(CL);CRTS
53859.61363;16.04;0.1;CRTS;CRTS(CL);CRTS
53859.62269;16.15;0.1;CRTS;CRTS(CL);CRTS
53859.6317;16.12;0.1;CRTS;CRTS(CL);CRTS
53859.64082;16.19;0.1;CRTS;CRTS(CL);CRTS
53873.56165;16.16;0.1;CRTS;CRTS(CL);CRTS
53873.57063;16.13;0.1;CRTS;CRTS(CL);CRTS
53873.57963;16.14;0.1;CRTS;CRTS(CL);CRTS
53873.58869;16.17;0.1;CRTS;CRTS(CL);CRTS
53879.55112;16.06;0.1;CRTS;CRTS(CL);CRTS
53879.56019;16.07;0.1;CRTS;CRTS(CL);CRTS
53879.56927;16.08;0.1;CRTS;CRTS(CL);CRTS
53879.57838;16.05;0.1;CRTS;CRTS(CL);CRTS
53886.58685;16.15;0.09;CRTS;CRTS(CL);CRTS
53886.59667;16.18;0.09;CRTS;CRTS(CL);CRTS
53886.60666;16.05;0.09;CRTS;CRTS(CL);CRTS
53886.6165;16.14;0.09;CRTS;CRTS(CL);CRTS
53899.49829;16.01;0.1;CRTS;CRTS(CL);CRTS
53899.50685;16.1;0.1;CRTS;CRTS(CL);CRTS
53899.51538;16.14;0.1;CRTS;CRTS(CL);CRTS
53899.52393;15.93;0.1;CRTS;CRTS(CL);CRTS
53935.41999;16.04;0.09;CRTS;CRTS(CL);CRTS
53935.4309;16.09;0.09;CRTS;CRTS(CL);CRTS
53935.44182;15.97;0.09;CRTS;CRTS(CL);CRTS
53935.45274;16.15;0.1;CRTS;CRTS(CL);CRTS
53936.43596;16.06;0.09;CRTS;CRTS(CL);CRTS
53936.44682;15.94;0.09;CRTS;CRTS(CL);CRTS
53936.45766;15.98;0.09;CRTS;CRTS(CL);CRTS
53936.46853;16.02;0.09;CRTS;CRTS(CL);CRTS
54095.6949;16.04;0.12;CRTS;CRTS(CL);CRTS
54126.68435;16.12;0.1;CRTS;CRTS(CL);CRTS
54126.69904;16.14;0.1;CRTS;CRTS(CL);CRTS
54126.71378;17.16;0.61;CRTS;CRTS(CL);CRTS
54127.72133;16.01;0.09;CRTS;CRTS(CL);CRTS
54127.72743;16.01;0.09;CRTS;CRTS(CL);CRTS
54127.73363;15.99;0.09;CRTS;CRTS(CL);CRTS
54127.73984;16.03;0.09;CRTS;CRTS(CL);CRTS
54154.65144;16.08;0.1;CRTS;CRTS(CL);CRTS
54154.66275;16.02;0.1;CRTS;CRTS(CL);CRTS
54154.6743;16.1;0.1;CRTS;CRTS(CL);CRTS
54154.68597;16.11;0.1;CRTS;CRTS(CL);CRTS
54167.71401;16.22;0.12;CRTS;CRTS(CL);CRTS
54167.72251;16.04;0.12;CRTS;CRTS(CL);CRTS
54167.73109;15.97;0.12;CRTS;CRTS(CL);CRTS
54167.73982;15.65;0.11;CRTS;CRTS(CL);CRTS
54182.61769;16.07;0.1;CRTS;CRTS(CL);CRTS
54182.63282;16.07;0.1;CRTS;CRTS(CL);CRTS
54182.64784;16.12;0.1;CRTS;CRTS(CL);CRTS
54182.66267;16.11;0.1;CRTS;CRTS(CL);CRTS
54189.65153;15.85;0.1;CRTS;CRTS(CL);CRTS
54189.6601;16.26;0.12;CRTS;CRTS(CL);CRTS
54189.66872;15.94;0.11;CRTS;CRTS(CL);CRTS
54189.67742;15.77;0.1;CRTS;CRTS(CL);CRTS
54196.67496;16.19;0.12;CRTS;CRTS(CL);CRTS
54196.68527;16.22;0.12;CRTS;CRTS(CL);CRTS
54196.69572;16.16;0.12;CRTS;CRTS(CL);CRTS
54196.70616;16.17;0.12;CRTS;CRTS(CL);CRTS
54207.60263;16.08;0.11;CRTS;CRTS(CL);CRTS
54207.61223;16.03;0.11;CRTS;CRTS(CL);CRTS
54207.62179;16.1;0.11;CRTS;CRTS(CL);CRTS
54207.63138;16.15;0.12;CRTS;CRTS(CL);CRTS
54227.4753;16.15;0.1;CRTS;CRTS(CL);CRTS
54227.48696;16.2;0.1;CRTS;CRTS(CL);CRTS
54227.5181;16.14;0.1;CRTS;CRTS(CL);CRTS
54227.52908;16.18;0.1;CRTS;CRTS(CL);CRTS
54240.64438;16.15;0.1;CRTS;CRTS(CL);CRTS
54240.65744;16.05;0.1;CRTS;CRTS(CL);CRTS
54240.67058;16.14;0.1;CRTS;CRTS(CL);CRTS
54240.68384;16.11;0.1;CRTS;CRTS(CL);CRTS
54267.50972;16.05;0.11;CRTS;CRTS(CL);CRTS
54267.51778;16.15;0.11;CRTS;CRTS(CL);CRTS
54267.52583;16.17;0.11;CRTS;CRTS(CL);CRTS
54267.53404;16.02;0.11;CRTS;CRTS(CL);CRTS
54285.35952;16.13;0.09;CRTS;CRTS(CL);CRTS
54285.37075;16.12;0.09;CRTS;CRTS(CL);CRTS
54301.36394;16.06;0.09;CRTS;CRTS(CL);CRTS
54301.37151;16.1;0.09;CRTS;CRTS(CL);CRTS
54301.37807;16.01;0.09;CRTS;CRTS(CL);CRTS
54301.38464;16.14;0.1;CRTS;CRTS(CL);CRTS
54323.38715;16.14;0.09;CRTS;CRTS(CL);CRTS
54323.39888;16.07;0.09;CRTS;CRTS(CL);CRTS
54323.41053;16.17;0.1;CRTS;CRTS(CL);CRTS
54323.42202;16.22;0.1;CRTS;CRTS(CL);CRTS
54344.37082;16.17;0.11;CRTS;CRTS(CL);CRTS
54344.37595;16.09;0.11;CRTS;CRTS(CL);CRTS
54344.38103;16.1;0.11;CRTS;CRTS(CL);CRTS
54344.38612;16.07;0.11;CRTS;CRTS(CL);CRTS
54463.69184;16.02;0.13;CRTS;CRTS(CL);CRTS
54463.69896;16.14;0.13;CRTS;CRTS(CL);CRTS
54463.70613;16.07;0.13;CRTS;CRTS(CL);CRTS
54463.71348;15.96;0.12;CRTS;CRTS(CL);CRTS
54503.75925;16.13;0.11;CRTS;CRTS(CL);CRTS
54503.76835;16.01;0.14;CRTS;CRTS(CL);CRTS
54503.77729;16.17;0.14;CRTS;CRTS(CL);CRTS
54504.75456;16.1;0.11;CRTS;CRTS(CL);CRTS
54504.76208;16.11;0.11;CRTS;CRTS(CL);CRTS
54504.76945;16.14;0.11;CRTS;CRTS(CL);CRTS
54504.7768;16.09;0.11;CRTS;CRTS(CL);CRTS
54526.68624;16.14;0.11;CRTS;CRTS(CL);CRTS
54526.6959;16.13;0.11;CRTS;CRTS(CL);CRTS
54526.70557;16.13;0.11;CRTS;CRTS(CL);CRTS
54526.71546;16.22;0.11;CRTS;CRTS(CL);CRTS
54533.69816;16.1;0.11;CRTS;CRTS(CL);CRTS
54533.70858;16.03;0.11;CRTS;CRTS(CL);CRTS
54533.71899;16.18;0.11;CRTS;CRTS(CL);CRTS
54533.72939;16.06;0.11;CRTS;CRTS(CL);CRTS
54588.63435;16.08;0.09;CRTS;CRTS(CL);CRTS
54588.6474;16.1;0.09;CRTS;CRTS(CL);CRTS
54588.66047;16.04;0.09;CRTS;CRTS(CL);CRTS
54588.67357;16.09;0.09;CRTS;CRTS(CL);CRTS
54595.5499;16.14;0.1;CRTS;CRTS(CL);CRTS
54595.56022;16.1;0.1;CRTS;CRTS(CL);CRTS
54595.5706;16.13;0.1;CRTS;CRTS(CL);CRTS
54595.58097;16.09;0.1;CRTS;CRTS(CL);CRTS
54612.55056;16.09;0.09;CRTS;CRTS(CL);CRTS
54612.56166;16.03;0.09;CRTS;CRTS(CL);CRTS
54612.56813;16.05;0.09;CRTS;CRTS(CL);CRTS
54612.57461;16.1;0.1;CRTS;CRTS(CL);CRTS
54622.48881;16.06;0.08;CRTS;CRTS(CL);CRTS
54622.49866;16.05;0.08;CRTS;CRTS(CL);CRTS
54622.50849;16.12;0.09;CRTS;CRTS(CL);CRTS
54622.51831;16.03;0.08;CRTS;CRTS(CL);CRTS
54645.49605;16.15;0.1;CRTS;CRTS(CL);CRTS
54645.50636;16.08;0.1;CRTS;CRTS(CL);CRTS
54645.51687;16.11;0.1;CRTS;CRTS(CL);CRTS
54645.52725;16.05;0.1;CRTS;CRTS(CL);CRTS
54690.35615;16.19;0.09;CRTS;CRTS(CL);CRTS
54690.3605;16.26;0.09;CRTS;CRTS(CL);CRTS
54690.3648;17.03;0.12;CRTS;CRTS(CL);CRTS
54690.36912;16.19;0.09;CRTS;CRTS(CL);CRTS
54844.66984;16.08;0.09;CRTS;CRTS(CL);CRTS
54844.68059;16.18;0.09;CRTS;CRTS(CL);CRTS
54844.69143;16.12;0.09;CRTS;CRTS(CL);CRTS
54844.70223;16.17;0.09;CRTS;CRTS(CL);CRTS
54887.67073;16.07;0.09;CRTS;CRTS(CL);CRTS
54887.68549;16.04;0.09;CRTS;CRTS(CL);CRTS
54887.69968;16.14;0.09;CRTS;CRTS(CL);CRTS
54887.7137;16.06;0.09;CRTS;CRTS(CL);CRTS
54908.68357;16.14;0.1;CRTS;CRTS(CL);CRTS
54919.64281;16.11;0.1;CRTS;CRTS(CL);CRTS
54919.65132;16.09;0.1;CRTS;CRTS(CL);CRTS
54919.65979;16.0;0.1;CRTS;CRTS(CL);CRTS
54919.6683;16.07;0.1;CRTS;CRTS(CL);CRTS
54938.67019;16.03;0.08;CRTS;CRTS(CL);CRTS
54938.68408;15.99;0.08;CRTS;CRTS(CL);CRTS
54938.6979;16.12;0.08;CRTS;CRTS(CL);CRTS
54938.71175;16.04;0.08;CRTS;CRTS(CL);CRTS
54954.49046;16.11;0.1;CRTS;CRTS(CL);CRTS
54954.49946;16.19;0.11;CRTS;CRTS(CL);CRTS
54954.50847;16.11;0.1;CRTS;CRTS(CL);CRTS
54954.51757;15.97;0.1;CRTS;CRTS(CL);CRTS
54973.57505;16.09;0.12;CRTS;CRTS(CL);CRTS
54973.58908;16.11;0.13;CRTS;CRTS(CL);CRTS
54973.5984;15.93;0.11;CRTS;CRTS(CL);CRTS
54973.60763;16.16;0.12;CRTS;CRTS(CL);CRTS
55000.51079;16.1;0.09;CRTS;CRTS(CL);CRTS
55000.51674;16.17;0.09;CRTS;CRTS(CL);CRTS
55000.52262;16.09;0.08;CRTS;CRTS(CL);CRTS
55000.52853;16.15;0.09;CRTS;CRTS(CL);CRTS
55032.48113;16.03;0.1;CRTS;CRTS(CL);CRTS
55032.48617;16.07;0.1;CRTS;CRTS(CL);CRTS
55032.49125;16.04;0.1;CRTS;CRTS(CL);CRTS
55032.49631;16.09;0.11;CRTS;CRTS(CL);CRTS
55057.38538;16.1;0.09;CRTS;CRTS(CL);CRTS
55057.39174;16.2;0.09;CRTS;CRTS(CL);CRTS
55057.39816;16.09;0.09;CRTS;CRTS(CL);CRTS
55057.40452;16.04;0.09;CRTS;CRTS(CL);CRTS
55217.7160773;13.42;0.046;ALLWISE;WISE(W1);ALLWISE
55217.7160773;13.16;0.07;ALLWISE;WISE(W2);ALLWISE
55217.848509;13.418;0.04;ALLWISE;WISE(W1);ALLWISE
55217.848509;13.742;0.113;ALLWISE;WISE(W2);ALLWISE
55217.9808133;13.442;0.039;ALLWISE;WISE(W1);ALLWISE
55217.9808133;13.334;0.082;ALLWISE;WISE(W2);ALLWISE
55218.1131176;13.398;0.037;ALLWISE;WISE(W1);ALLWISE
55218.1131176;13.499;0.096;ALLWISE;WISE(W2);ALLWISE
55218.1793334;13.385;0.039;ALLWISE;WISE(W1);ALLWISE
55218.1793334;13.351;0.077;ALLWISE;WISE(W2);ALLWISE
55218.2454219;13.419;0.043;ALLWISE;WISE(W1);ALLWISE
55218.2454219;13.326;0.076;ALLWISE;WISE(W2);ALLWISE
55218.2455493;13.352;0.04;ALLWISE;WISE(W1);ALLWISE
55218.2455493;13.429;0.084;ALLWISE;WISE(W2);ALLWISE
55218.3116377;13.444;0.04;ALLWISE;WISE(W1);ALLWISE
55218.3116377;13.503;0.089;ALLWISE;WISE(W2);ALLWISE
55218.3778536;13.368;0.085;ALLWISE;WISE(W2);ALLWISE
55218.3778536;13.431;0.044;ALLWISE;WISE(W1);ALLWISE
55218.4439421;13.412;0.038;ALLWISE;WISE(W1);ALLWISE
55218.4439421;13.255;0.077;ALLWISE;WISE(W2);ALLWISE
55218.5763737;13.403;0.044;ALLWISE;WISE(W1);ALLWISE
55218.5763737;13.31;0.079;ALLWISE;WISE(W2);ALLWISE
55218.67619;16.07;0.09;CRTS;CRTS(CL);CRTS
55218.67892;16.1;0.11;CRTS;CRTS(CL);CRTS
55218.708678;13.342;0.036;ALLWISE;WISE(W1);ALLWISE
55218.708678;13.291;0.076;ALLWISE;WISE(W2);ALLWISE
55218.72852;16.1;0.11;CRTS;CRTS(CL);CRTS
55248.69174;16.0;0.1;CRTS;CRTS(CL);CRTS
55248.70291;16.07;0.11;CRTS;CRTS(CL);CRTS
55248.71337;16.05;0.1;CRTS;CRTS(CL);CRTS
55248.72379;16.1;0.11;CRTS;CRTS(CL);CRTS
55264.62875;16.17;0.1;CRTS;CRTS(CL);CRTS
55264.63505;16.1;0.09;CRTS;CRTS(CL);CRTS
55264.64134;16.24;0.1;CRTS;CRTS(CL);CRTS
55264.64742;16.27;0.1;CRTS;CRTS(CL);CRTS
55299.70109;16.12;0.08;CRTS;CRTS(CL);CRTS
55299.71338;16.15;0.08;CRTS;CRTS(CL);CRTS
55299.72578;16.03;0.08;CRTS;CRTS(CL);CRTS
55299.73823;16.1;0.08;CRTS;CRTS(CL);CRTS
55326.54429;16.07;0.11;CRTS;CRTS(CL);CRTS
55326.55372;16.1;0.11;CRTS;CRTS(CL);CRTS
55326.5633;16.09;0.11;CRTS;CRTS(CL);CRTS
55326.5729;16.11;0.11;CRTS;CRTS(CL);CRTS
55359.46993;16.09;0.09;CRTS;CRTS(CL);CRTS
55359.47995;16.11;0.09;CRTS;CRTS(CL);CRTS
55359.48997;15.91;0.09;CRTS;CRTS(CL);CRTS
55359.49998;16.02;0.09;CRTS;CRTS(CL);CRTS
55386.45009;16.03;0.11;CRTS;CRTS(CL);CRTS
55386.4573;16.07;0.1;CRTS;CRTS(CL);CRTS
55386.46457;15.93;0.09;CRTS;CRTS(CL);CRTS
55386.47186;16.02;0.09;CRTS;CRTS(CL);CRTS
55394.1132183;13.386;0.08;ALLWISE;WISE(W2);ALLWISE
55394.1132183;13.464;0.052;ALLWISE;WISE(W1);ALLWISE
55394.245522;13.625;0.102;ALLWISE;WISE(W2);ALLWISE
55394.245522;13.494;0.045;ALLWISE;WISE(W1);ALLWISE
55394.3778258;13.479;0.043;ALLWISE;WISE(W1);ALLWISE
55394.3778258;13.536;0.108;ALLWISE;WISE(W2);ALLWISE
55394.5101295;13.435;0.039;ALLWISE;WISE(W1);ALLWISE
55394.5101295;13.334;0.084;ALLWISE;WISE(W2);ALLWISE
55394.5763451;13.486;0.043;ALLWISE;WISE(W1);ALLWISE
55394.5763451;13.529;0.135;ALLWISE;WISE(W2);ALLWISE
55394.6424332;13.361;0.038;ALLWISE;WISE(W1);ALLWISE
55394.6424332;13.196;0.094;ALLWISE;WISE(W2);ALLWISE
55394.7086488;13.211;0.075;ALLWISE;WISE(W2);ALLWISE
55394.7086488;13.376;0.042;ALLWISE;WISE(W1);ALLWISE
55394.774737;13.458;0.042;ALLWISE;WISE(W1);ALLWISE
55394.774737;13.303;0.085;ALLWISE;WISE(W2);ALLWISE
55394.8409526;13.479;0.043;ALLWISE;WISE(W1);ALLWISE
55394.8409526;13.436;0.099;ALLWISE;WISE(W2);ALLWISE
55394.973129;13.435;0.042;ALLWISE;WISE(W1);ALLWISE
55394.973129;13.398;0.092;ALLWISE;WISE(W2);ALLWISE
55394.9732563;13.457;0.045;ALLWISE;WISE(W1);ALLWISE
55395.1054328;13.397;0.044;ALLWISE;WISE(W1);ALLWISE
55395.2377365;13.432;0.046;ALLWISE;WISE(W1);ALLWISE
55396.4945584;13.448;0.04;ALLWISE;WISE(W1);ALLWISE
55396.6268621;13.334;0.107;ALLWISE;WISE(W2);ALLWISE
55396.6268621;13.376;0.038;ALLWISE;WISE(W1);ALLWISE
55396.7591659;13.381;0.039;ALLWISE;WISE(W1);ALLWISE
55396.7591659;13.446;0.126;ALLWISE;WISE(W2);ALLWISE
55396.8914697;13.355;0.039;ALLWISE;WISE(W1);ALLWISE
55396.8914697;13.572;0.166;ALLWISE;WISE(W2);ALLWISE
55396.9575579;13.495;0.049;ALLWISE;WISE(W1);ALLWISE
55396.9575579;13.548;0.127;ALLWISE;WISE(W2);ALLWISE
55397.0237735;13.148;0.095;ALLWISE;WISE(W2);ALLWISE
55397.0237735;13.478;0.04;ALLWISE;WISE(W1);ALLWISE
55397.0898616;13.416;0.041;ALLWISE;WISE(W1);ALLWISE
55397.0898616;13.477;0.113;ALLWISE;WISE(W2);ALLWISE
55397.1560772;13.302;0.101;ALLWISE;WISE(W2);ALLWISE
55397.1560772;13.507;0.044;ALLWISE;WISE(W1);ALLWISE
55397.2221654;13.315;0.111;ALLWISE;WISE(W2);ALLWISE
55397.2221654;13.542;0.044;ALLWISE;WISE(W1);ALLWISE
55397.3544691;13.439;0.044;ALLWISE;WISE(W1);ALLWISE
55397.3544691;13.15;0.115;ALLWISE;WISE(W2);ALLWISE
55397.4867729;13.168;0.093;ALLWISE;WISE(W2);ALLWISE
55397.4867729;13.5;0.042;ALLWISE;WISE(W1);ALLWISE
55397.6190766;13.304;0.094;ALLWISE;WISE(W2);ALLWISE
55397.6190766;13.451;0.038;ALLWISE;WISE(W1);ALLWISE
55581.2569931;13.379;0.085;ALLWISE;WISE(W2);ALLWISE
55581.2569931;13.459;0.047;ALLWISE;WISE(W1);ALLWISE
55581.3892974;13.621;0.106;ALLWISE;WISE(W2);ALLWISE
55581.3892974;13.567;0.047;ALLWISE;WISE(W1);ALLWISE
55581.5215965;13.475;0.045;ALLWISE;WISE(W1);ALLWISE
55581.5215965;13.433;0.087;ALLWISE;WISE(W2);ALLWISE
55581.6537734;13.498;0.109;ALLWISE;WISE(W2);ALLWISE
55581.6537734;13.455;0.044;ALLWISE;WISE(W1);ALLWISE
55581.7199892;13.474;0.043;ALLWISE;WISE(W1);ALLWISE
55581.7199892;13.359;0.079;ALLWISE;WISE(W2);ALLWISE
55581.7860777;13.439;0.041;ALLWISE;WISE(W1);ALLWISE
55581.7860777;13.243;0.075;ALLWISE;WISE(W2);ALLWISE
55581.8521662;13.57;0.044;ALLWISE;WISE(W1);ALLWISE
55581.8521662;13.554;0.105;ALLWISE;WISE(W2);ALLWISE
55581.918382;13.438;0.045;ALLWISE;WISE(W1);ALLWISE
55581.918382;13.459;0.093;ALLWISE;WISE(W2);ALLWISE
55581.9844705;13.479;0.047;ALLWISE;WISE(W1);ALLWISE
55581.9844705;13.474;0.094;ALLWISE;WISE(W2);ALLWISE
55582.1167748;13.373;0.042;ALLWISE;WISE(W1);ALLWISE
55582.1167748;13.417;0.085;ALLWISE;WISE(W2);ALLWISE
55582.2489517;13.51;0.053;ALLWISE;WISE(W1);ALLWISE
55582.2489517;13.416;0.083;ALLWISE;WISE(W2);ALLWISE
55587.5393404;13.546;0.049;ALLWISE;WISE(W1);ALLWISE
55654.52339;16.14;0.08;CRTS;CRTS(CL);CRTS
55654.55679;16.11;0.08;CRTS;CRTS(CL);CRTS
55674.5221;16.1;0.08;CRTS;CRTS(CL);CRTS
55674.5732;15.87;0.08;CRTS;CRTS(CL);CRTS
55706.42315;15.98;0.09;CRTS;CRTS(CL);CRTS
55737.49011;16.01;0.08;CRTS;CRTS(CL);CRTS
55737.49713;16.09;0.08;CRTS;CRTS(CL);CRTS
55737.50423;16.07;0.08;CRTS;CRTS(CL);CRTS
55737.51133;16.08;0.08;CRTS;CRTS(CL);CRTS
55766.38789;16.03;0.08;CRTS;CRTS(CL);CRTS
55766.39424;16.09;0.08;CRTS;CRTS(CL);CRTS
55766.4006;16.11;0.08;CRTS;CRTS(CL);CRTS
55766.40696;16.08;0.08;CRTS;CRTS(CL);CRTS
55799.37163;16.07;0.09;CRTS;CRTS(CL);CRTS
55799.37866;16.13;0.09;CRTS;CRTS(CL);CRTS
55799.38573;16.03;0.09;CRTS;CRTS(CL);CRTS
55799.39281;16.08;0.09;CRTS;CRTS(CL);CRTS
55977.56440549996;15.976994584094609;0.0485467234054531;ASASSN;ASASSN(V);ASASSN
55981.57134900009;15.923104535078163;0.0637813473829056;ASASSN;ASASSN(V);ASASSN
55985.57262719981;15.968506811266398;0.0652547507543984;ASASSN;ASASSN(V);ASASSN
56003.49273459986;16.234439084527846;0.0251765632299101;ASASSN;ASASSN(V);ASASSN
56004.73944;15.96;0.09;CRTS;CRTS(CL);CRTS
56004.7514;15.92;0.09;CRTS;CRTS(CL);CRTS
56004.76344;15.96;0.09;CRTS;CRTS(CL);CRTS
56004.77544;15.93;0.1;CRTS;CRTS(CL);CRTS
56019.64492;15.93;0.08;CRTS;CRTS(CL);CRTS
56019.65428;15.95;0.08;CRTS;CRTS(CL);CRTS
56019.66364;16.04;0.09;CRTS;CRTS(CL);CRTS
56019.67301;15.94;0.08;CRTS;CRTS(CL);CRTS
56036.58843;16.0;0.08;CRTS;CRTS(CL);CRTS
56036.60259;15.98;0.08;CRTS;CRTS(CL);CRTS
56036.61675;15.99;0.08;CRTS;CRTS(CL);CRTS
56036.63095;16.06;0.08;CRTS;CRTS(CL);CRTS
56046.58889;16.07;0.08;CRTS;CRTS(CL);CRTS
56046.60021;15.97;0.08;CRTS;CRTS(CL);CRTS
56046.6116;15.98;0.08;CRTS;CRTS(CL);CRTS
56046.62298;15.88;0.08;CRTS;CRTS(CL);CRTS
56061.51081;16.09;0.08;CRTS;CRTS(CL);CRTS
56061.52067;16.05;0.08;CRTS;CRTS(CL);CRTS
56061.53057;16.04;0.08;CRTS;CRTS(CL);CRTS
56061.54048;16.07;0.08;CRTS;CRTS(CL);CRTS
56076.48317;16.0;0.09;CRTS;CRTS(CL);CRTS
56076.49562;16.07;0.09;CRTS;CRTS(CL);CRTS
56076.50813;16.06;0.09;CRTS;CRTS(CL);CRTS
56076.52059;15.95;0.09;CRTS;CRTS(CL);CRTS
56153.40783;16.07;0.09;CRTS;CRTS(CL);CRTS
56153.41488;16.17;0.09;CRTS;CRTS(CL);CRTS
56153.42199;16.08;0.09;CRTS;CRTS(CL);CRTS
56153.42911;16.13;0.09;CRTS;CRTS(CL);CRTS
56296.69368;16.04;0.09;CRTS;CRTS(CL);CRTS
56296.70312;16.05;0.09;CRTS;CRTS(CL);CRTS
56296.71279;16.1;0.09;CRTS;CRTS(CL);CRTS
56296.72277;16.05;0.09;CRTS;CRTS(CL);CRTS
56363.69621;16.1;0.09;CRTS;CRTS(CL);CRTS
56363.70799;16.1;0.09;CRTS;CRTS(CL);CRTS
56363.71996;16.15;0.09;CRTS;CRTS(CL);CRTS
56363.73192;16.04;0.09;CRTS;CRTS(CL);CRTS
56376.57596;15.99;0.08;CRTS;CRTS(CL);CRTS
56376.58813;16.12;0.09;CRTS;CRTS(CL);CRTS
56376.60008;16.03;0.09;CRTS;CRTS(CL);CRTS
56376.61205;15.99;0.08;CRTS;CRTS(CL);CRTS
56391.65382;15.94;0.08;CRTS;CRTS(CL);CRTS
56391.66742;16.07;0.08;CRTS;CRTS(CL);CRTS
56391.68134;16.03;0.08;CRTS;CRTS(CL);CRTS
56391.69509;16.04;0.08;CRTS;CRTS(CL);CRTS
56404.48528;16.1;0.08;CRTS;CRTS(CL);CRTS
56404.49594;16.18;0.08;CRTS;CRTS(CL);CRTS
56404.50673;16.08;0.08;CRTS;CRTS(CL);CRTS
56404.51924;16.01;0.08;CRTS;CRTS(CL);CRTS
56412.60375;16.08;0.09;CRTS;CRTS(CL);CRTS
56412.61644;15.96;0.08;CRTS;CRTS(CL);CRTS
56412.6289;16.12;0.09;CRTS;CRTS(CL);CRTS
56412.64151;16.09;0.09;CRTS;CRTS(CL);CRTS
56422.5814;16.07;0.08;CRTS;CRTS(CL);CRTS
56422.59048;16.09;0.08;CRTS;CRTS(CL);CRTS
56422.59942;16.03;0.08;CRTS;CRTS(CL);CRTS
56422.60851;16.07;0.08;CRTS;CRTS(CL);CRTS
56459.47808;16.04;0.08;CRTS;CRTS(CL);CRTS
56459.48867;16.2;0.08;CRTS;CRTS(CL);CRTS
56459.49934;16.11;0.08;CRTS;CRTS(CL);CRTS
56459.51081;16.11;0.08;CRTS;CRTS(CL);CRTS
56495.36725;16.01;0.08;CRTS;CRTS(CL);CRTS
56495.37778;16.05;0.08;CRTS;CRTS(CL);CRTS
56495.38674;15.87;0.08;CRTS;CRTS(CL);CRTS
56495.39571;16.06;0.08;CRTS;CRTS(CL);CRTS
56678.86824078;14.276;0.079;NEOWISE;WISE(W1);NEOWISE
56678.86824078;14.146;0.206;NEOWISE;WISE(W2);NEOWISE
56679.00003573;13.978;0.056;NEOWISE;WISE(W1);NEOWISE
56679.00003573;13.813;0.168;NEOWISE;WISE(W2);NEOWISE
56679.13170331;13.218;0.096;NEOWISE;WISE(W2);NEOWISE
56679.13170331;13.348;0.036;NEOWISE;WISE(W1);NEOWISE
56679.26349821;13.692;0.044;NEOWISE;WISE(W1);NEOWISE
56679.26349821;13.492;0.146;NEOWISE;WISE(W2);NEOWISE
