MJD;Magnitude;Error;Facility;Filter;Observer
51156.22129999986;13.544;0.066;2MASS;2MASS(K);2MASS
51156.22129999986;13.832;0.089;2MASS;2MASS(H);2MASS
51156.22129999986;14.607;0.068;2MASS;2MASS(J);2MASS
53648.74869;15.4;0.1;CRTS;CRTS(CL);CRTS
53648.7576;15.46;0.1;CRTS;CRTS(CL);CRTS
53648.76655;15.5;0.1;CRTS;CRTS(CL);CRTS
53707.63769;15.36;0.09;CRTS;CRTS(CL);CRTS
53707.64374;15.39;0.09;CRTS;CRTS(CL);CRTS
53707.64977;15.46;0.1;CRTS;CRTS(CL);CRTS
53707.65583;15.39;0.09;CRTS;CRTS(CL);CRTS
53722.61709;15.39;0.09;CRTS;CRTS(CL);CRTS
53722.62436;15.42;0.09;CRTS;CRTS(CL);CRTS
53722.63165;15.4;0.09;CRTS;CRTS(CL);CRTS
53722.63893;15.42;0.09;CRTS;CRTS(CL);CRTS
53737.63418;15.35;0.09;CRTS;CRTS(CL);CRTS
53737.64192;15.38;0.09;CRTS;CRTS(CL);CRTS
53737.64964;15.4;0.09;CRTS;CRTS(CL);CRTS
53737.65738;15.41;0.09;CRTS;CRTS(CL);CRTS
53758.54087;15.39;0.11;CRTS;CRTS(CL);CRTS
53758.54767;15.51;0.1;CRTS;CRTS(CL);CRTS
53758.55498;15.49;0.1;CRTS;CRTS(CL);CRTS
53758.56217;15.48;0.1;CRTS;CRTS(CL);CRTS
53774.52727;15.35;0.09;CRTS;CRTS(CL);CRTS
53774.53444;15.41;0.09;CRTS;CRTS(CL);CRTS
53774.54156;15.5;0.09;CRTS;CRTS(CL);CRTS
53774.54869;15.4;0.09;CRTS;CRTS(CL);CRTS
53834.45115;15.44;0.07;CRTS;CRTS(CL);CRTS
53834.45877;15.41;0.07;CRTS;CRTS(CL);CRTS
53834.47422;15.44;0.07;CRTS;CRTS(CL);CRTS
53878.37422;15.35;0.08;CRTS;CRTS(CL);CRTS
53878.37795;15.43;0.08;CRTS;CRTS(CL);CRTS
53878.38164;15.36;0.08;CRTS;CRTS(CL);CRTS
53878.38535;15.42;0.08;CRTS;CRTS(CL);CRTS
53990.75834;15.45;0.09;CRTS;CRTS(CL);CRTS
53990.76912;15.35;0.09;CRTS;CRTS(CL);CRTS
53990.7798;15.42;0.09;CRTS;CRTS(CL);CRTS
53990.79063;15.5;0.09;CRTS;CRTS(CL);CRTS
54058.67562;15.42;0.09;CRTS;CRTS(CL);CRTS
54058.68391;15.34;0.09;CRTS;CRTS(CL);CRTS
54058.69235;15.31;0.09;CRTS;CRTS(CL);CRTS
54058.70059;15.42;0.09;CRTS;CRTS(CL);CRTS
54096.60785;15.46;0.09;CRTS;CRTS(CL);CRTS
54096.61891;15.43;0.09;CRTS;CRTS(CL);CRTS
54096.63006;15.4;0.09;CRTS;CRTS(CL);CRTS
54096.64116;15.39;0.09;CRTS;CRTS(CL);CRTS
54179.39921;15.28;0.1;CRTS;CRTS(CL);CRTS
54179.40514;15.65;0.15;CRTS;CRTS(CL);CRTS
54179.41103;15.7;0.24;CRTS;CRTS(CL);CRTS
54179.45638;16.09;0.51;CRTS;CRTS(CL);CRTS
54182.47261;15.42;0.08;CRTS;CRTS(CL);CRTS
54182.48047;15.43;0.08;CRTS;CRTS(CL);CRTS
54182.48834;15.39;0.08;CRTS;CRTS(CL);CRTS
